#  N   trapezoid     Simpsons      Gauss      GSL      3-8
#---------------------------------------------------------
2.800029e+00  -6.677862e+00  -1.346759e+01  -9.115652e+00  -1.575539e+01  -1.310025e+01
2.804139e+00  -6.686095e+00  -1.348123e+01  -9.123840e+00  -1.575539e+01  -1.311293e+01
2.808211e+00  -6.694251e+00  -1.349294e+01  -9.131953e+00  -1.575539e+01  -1.313111e+01
2.812245e+00  -6.702331e+00  -1.349294e+01  -9.139989e+00  -1.575539e+01  -1.315879e+01
2.816241e+00  -6.710337e+00  -1.352239e+01  -9.147952e+00  -1.575539e+01  -1.315660e+01
2.820201e+00  -6.718269e+00  -1.355127e+01  -9.155844e+00  -1.575539e+01  -1.318252e+01
2.824126e+00  -6.726130e+00  -1.356227e+01  -9.163664e+00  -1.575539e+01  -1.321008e+01
2.828015e+00  -6.733920e+00  -1.357070e+01  -9.171415e+00  -1.575539e+01  -1.321381e+01
2.831870e+00  -6.741641e+00  -1.359402e+01  -9.179098e+00  -1.575539e+01  -1.323164e+01
2.835691e+00  -6.749293e+00  -1.359402e+01  -9.186713e+00  -1.575539e+01  -1.324484e+01
2.839478e+00  -6.756879e+00  -1.361867e+01  -9.194261e+00  -1.575539e+01  -1.325985e+01
2.843233e+00  -6.764400e+00  -1.368351e+01  -9.201746e+00  -1.575539e+01  -1.327395e+01
2.846955e+00  -6.771855e+00  -1.361551e+01  -9.209167e+00  -1.575539e+01  -1.329001e+01
2.850646e+00  -6.779248e+00  -1.364145e+01  -9.216523e+00  -1.575539e+01  -1.330514e+01
2.854306e+00  -6.786578e+00  -1.367621e+01  -9.223820e+00  -1.575539e+01  -1.332888e+01
2.857935e+00  -6.793846e+00  -1.367984e+01  -9.231055e+00  -1.575539e+01  -1.332725e+01
2.861534e+00  -6.801054e+00  -1.370617e+01  -9.238231e+00  -1.575539e+01  -1.334042e+01
2.865104e+00  -6.808203e+00  -1.370231e+01  -9.245346e+00  -1.575539e+01  -1.334885e+01
2.868644e+00  -6.815294e+00  -1.373008e+01  -9.252406e+00  -1.575539e+01  -1.337699e+01
2.872156e+00  -6.822327e+00  -1.378226e+01  -9.259409e+00  -1.575539e+01  -1.337157e+01
2.875640e+00  -6.829304e+00  -1.381091e+01  -9.266355e+00  -1.575539e+01  -1.340514e+01
2.879096e+00  -6.836225e+00  -1.379160e+01  -9.273245e+00  -1.575539e+01  -1.341893e+01
2.882525e+00  -6.843091e+00  -1.375107e+01  -9.280084e+00  -1.575539e+01  -1.342701e+01
2.885926e+00  -6.849904e+00  -1.377767e+01  -9.286868e+00  -1.575539e+01  -1.346092e+01
2.889302e+00  -6.856663e+00  -1.380115e+01  -9.293598e+00  -1.575539e+01  -1.345436e+01
2.892651e+00  -6.863370e+00  -1.378226e+01  -9.300280e+00  -1.575539e+01  -1.347436e+01
2.895975e+00  -6.870026e+00  -1.385230e+01  -9.306908e+00  -1.575539e+01  -1.347893e+01
2.899273e+00  -6.876632e+00  -1.386890e+01  -9.313487e+00  -1.575539e+01  -1.349294e+01
2.902547e+00  -6.883187e+00  -1.383111e+01  -9.320017e+00  -1.575539e+01  -1.350497e+01
2.905796e+00  -6.889693e+00  -1.387458e+01  -9.326496e+00  -1.575539e+01  -1.353008e+01
2.909021e+00  -6.896151e+00  -1.389207e+01  -9.029490e+00  -1.575539e+01  -1.353791e+01
2.912222e+00  -6.902562e+00  -1.392931e+01  -9.035882e+00  -1.575539e+01  -1.354320e+01
2.915400e+00  -6.908925e+00  -1.397724e+01  -9.042227e+00  -1.575539e+01  -1.357070e+01
2.918555e+00  -6.915242e+00  -1.393585e+01  -9.048526e+00  -1.575539e+01  -1.360926e+01
2.921686e+00  -6.921513e+00  -1.393585e+01  -9.054779e+00  -1.575539e+01  -1.356506e+01
2.924796e+00  -6.927740e+00  -1.397724e+01  -9.060987e+00  -1.575539e+01  -1.361867e+01
2.927883e+00  -6.933922e+00  -1.404782e+01  -9.067152e+00  -1.575539e+01  -1.363154e+01
2.930949e+00  -6.940060e+00  -1.399951e+01  -9.073274e+00  -1.575539e+01  -1.361867e+01
2.933993e+00  -6.946156e+00  -1.403939e+01  -9.079353e+00  -1.575539e+01  -1.365502e+01
2.937016e+00  -6.952209e+00  -1.395605e+01  -9.085389e+00  -1.575539e+01  -1.363154e+01
2.940018e+00  -6.958220e+00  -1.399196e+01  -9.091384e+00  -1.575539e+01  -1.368720e+01
2.943000e+00  -6.964189e+00  -1.399951e+01  -9.097339e+00  -1.575539e+01  -1.370617e+01
2.945961e+00  -6.970118e+00  -1.399196e+01  -9.103251e+00  -1.575539e+01  -1.368351e+01
