# m=10, k=39.478, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
11.0900  -2.196267380062276e-02  -9.990474177835641e-01  4.990478714900036e+00  9.521285099887894e-03
11.1000  -3.194815558197077e-02  -9.979832369123738e-01  4.979852705790496e+00  2.014729420942776e-02
11.1100  -4.192102528538266e-02  -9.965250851801559e-01  4.965311226966586e+00  3.468877303333866e-02
11.1200  -5.187734595087890e-02  -9.946735382171135e-01  4.946877238146757e+00  5.312276185316466e-02
11.1300  -6.181318715149423e-02  -9.924293269529100e-01  4.924579844981030e+00  7.542015501889254e-02
11.1400  -7.172462654488052e-02  -9.897933373281217e-01  4.898454253095704e+00  1.015457469042179e-01
11.1500  -8.160775142171822e-02  -9.867666099444978e-01  4.868541712506784e+00  1.314582874931386e-01
11.1600  -9.145866025032490e-02  -9.833503396541655e-01  4.834889452489813e+00  1.651105475101085e-01
11.1700  -1.012734642168512e-01  -9.795458750879413e-01  4.797550607009004e+00  2.024493929909170e-01
11.1800  -1.110482887604563e-01  -9.753547181229366e-01  4.756584130823366e+00  2.434158691765545e-01
11.1900  -1.207792751028568e-01  -9.707785232896657e-01  4.712054706402321e+00  2.879452935976003e-01
11.2000  -1.304625817716449e-01  -9.658190971188918e-01  4.664032641797757e+00  3.359673582021643e-01
11.2100  -1.400943861167754e-01  -9.604783974284684e-01  4.612593759633794e+00  3.874062403661279e-01
11.2200  -1.496708858196211e-01  -9.547585325504570e-01  4.557819277389510e+00  4.421807226104111e-01
11.2300  -1.591883003940036e-01  -9.486617604988281e-01  4.499795679163680e+00  5.002043208362418e-01
11.2400  -1.686428726786039e-01  -9.421904880780707e-01  4.438614579123965e+00  5.613854208759551e-01
11.2500  -1.780308703201663e-01  -9.353472699330661e-01  4.374372576856199e+00  6.256274231437219e-01
11.2600  -1.873485872469077e-01  -9.281348075405973e-01  4.307171104842108e+00  6.928288951578133e-01
