# m=1, k=39.4784, p=3
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
6.6600  -1.088393081655227e-01  -9.004633415060772e-01  4.054171146981451e-01  1.696663822504192e-02
6.6700  -1.177728170946311e-01  -8.861114411494674e-01  3.925967430679930e-01  2.149679288379487e-02
6.6800  -1.265589167311453e-01  -8.709735909477379e-01  3.792974980641987e-01  2.667575552553581e-02
6.6900  -1.351895172900164e-01  -8.550043881677536e-01  3.655162518930573e-01  3.251378533259826e-02
6.7000  -1.436560949534986e-01  -8.381624647302865e-01  3.512581586413744e-01  3.901311717258382e-02
6.7100  -1.519497332890110e-01  -8.204107013167927e-01  3.365368594175558e-01  4.616770734643486e-02
6.7200  -1.600611667978486e-01  -8.017164388814118e-01  3.213746241863462e-01  5.396304120883631e-02
6.7300  -1.679808265521405e-01  -7.820516842259596e-01  3.058024184003300e-01  6.237601471151364e-02
6.7400  -1.756988878437536e-01  -7.613933062468223e-01  2.898598833987337e-01  7.137490108515640e-02
6.7500  -1.832053197348235e-01  -7.397232194454567e-01  2.735952206933757e-01  8.091941275789032e-02
6.7600  -1.904899363655653e-01  -7.170285513128360e-01  2.570649716988922e-01  9.096086720094587e-02
6.7700  -1.975424498413829e-01  -6.933017902562871e-01  2.403336861862864e-01  1.014424636983176e-01
6.7800  -2.043525244884425e-01  -6.685409108377819e-01  2.234734747319055e-01  1.122996760698162e-01
6.7900  -2.109098322352571e-01  -6.427494732381793e-01  2.065634426739785e-01  1.234607641597165e-01
6.8000  -2.172041088478938e-01  -6.159366940536254e-01  1.896890055408547e-01  1.348474044707258e-01
6.8100  -2.232252107186302e-01  -5.881174857688656e-01  1.729410885335459e-01  1.463754377203647e-01
6.8200  -2.289631718827218e-01  -5.593124625371495e-01  1.564152153746851e-01  1.579557283790619e-01
6.8300  -2.344082609158506e-01  -5.295479102262115e-01  1.402104946124739e-01  1.694951284800867e-01
6.8400  -2.395510373462456e-01  -4.988557190619062e-01  1.244285142203857e-01  1.808975352417853e-01
6.8500  -2.443824072008086e-01  -4.672732776117829e-01  1.091721579850292e-01  1.920650293885216e-01
6.8600  -2.488936772941923e-01  -4.348433272954521e-01  9.454435964668982e-02  2.028990785770461e-01
