numerical = 9.176151460128180171e-01   exact = 9.176151460128199044e-01
numerical = 9.144648426925472418e-01   exact = 9.144648426925414686e-01
numerical = 9.112581198156034512e-01   exact = 9.112581198155950135e-01
numerical = 9.079951752265320586e-01   exact = 9.079951752265282838e-01
numerical = 9.046762102385753623e-01   exact = 9.046762102385890181e-01
numerical = 9.013014296213039955e-01   exact = 9.013014296213035514e-01
numerical = 8.978710415878475848e-01   exact = 8.978710415878452533e-01
numerical = 8.943852577821734817e-01   exact = 8.943852577821861383e-01
numerical = 8.908442932660510793e-01   exact = 8.908442932660410873e-01
numerical = 8.872483665055979074e-01   exact = 8.872483665055977964e-01
numerical = 8.835976993580347827e-01   exact = 8.835976993580388905e-01
numerical = 8.798925170578572041e-01   exact = 8.798925170578543176e-01
numerical = 8.761330482029240363e-01   exact = 8.761330482029437983e-01
numerical = 8.723195247405193253e-01   exact = 8.723195247405141073e-01
numerical = 8.684521819527685205e-01   exact = 8.684521819527689646e-01
numerical = 8.645312584424050817e-01   exact = 8.645312584423919811e-01
numerical = 8.605569961178284322e-01   exact = 8.605569961178258787e-01
numerical = 8.565296401783605296e-01   exact = 8.565296401783478730e-01
numerical = 8.524494390989398873e-01   exact = 8.524494390989413306e-01
numerical = 8.483166446149494888e-01   exact = 8.483166446149662532e-01
numerical = 8.441315117066241491e-01   exact = 8.441315117066265916e-01
numerical = 8.398942985832360542e-01   exact = 8.398942985832407171e-01
numerical = 8.356052666673094986e-01   exact = 8.356052666673088325e-01
numerical = 8.312646805783975301e-01   exact = 8.312646805783858728e-01
numerical = 8.268728081167496802e-01   exact = 8.268728081167536770e-01
numerical = 8.224299202469020909e-01   exact = 8.224299202468993153e-01
numerical = 8.179362910808030129e-01   exact = 8.179362910807976839e-01
numerical = 8.133921978610068049e-01   exact = 8.133921978609996994e-01
numerical = 8.087979209435367522e-01   exact = 8.087979209435262051e-01
numerical = 8.041537437805671429e-01   exact = 8.041537437805725830e-01
numerical = 7.994599529030241847e-01   exact = 7.994599529030192997e-01
numerical = 7.947168379027645946e-01   exact = 7.947168379027540475e-01
numerical = 7.899246914148020382e-01   exact = 7.899246914148059240e-01
numerical = 7.850838090992848795e-01   exact = 7.850838090992895424e-01
numerical = 7.801944896231712834e-01   exact = 7.801944896231652882e-01
numerical = 7.752570346418018454e-01   exact = 7.752570346418090619e-01
numerical = 7.702717487803916185e-01   exact = 7.702717487804058294e-01
numerical = 7.652389396151416667e-01   exact = 7.652389396151523249e-01
numerical = 7.601589176542838944e-01   exact = 7.601589176542802306e-01
numerical = 7.550319963189082717e-01   exact = 7.550319963189013883e-01
numerical = 7.498584919236735979e-01   exact = 7.498584919236672697e-01
numerical = 7.446387236572760138e-01   exact = 7.446387236572568069e-01
numerical = 7.393730135626799260e-01   exact = 7.393730135626808142e-01
numerical = 7.340616865174183214e-01   exact = 7.340616865174139916e-01
numerical = 7.287050702133485158e-01   exact = 7.287050702133515134e-01
numerical = 7.233034951365877596e-01   exact = 7.233034951365912013e-01
numerical = 7.178572945470407252e-01   exact = 7.178572945470425015e-01
numerical = 7.123668044578692626e-01   exact = 7.123668044578673753e-01
numerical = 7.068323636147445521e-01   exact = 7.068323636147472167e-01
numerical = 7.012543134749904539e-01   exact = 7.012543134749852358e-01
numerical = 6.956329981864411982e-01   exact = 6.956329981864382006e-01
numerical = 6.899687645662833102e-01   exact = 6.899687645662845314e-01
numerical = 6.842619620796321911e-01   exact = 6.842619620796268620e-01
numerical = 6.785129428179347277e-01   exact = 6.785129428179300648e-01
numerical = 6.727220614773076202e-01   exact = 6.727220614772992935e-01
numerical = 6.668896753365964880e-01   exact = 6.668896753365958219e-01
numerical = 6.610161442353948980e-01   exact = 6.610161442353948980e-01
numerical = 6.551018305517705143e-01   exact = 6.551018305517843920e-01
numerical = 6.491470991800001311e-01   exact = 6.491470991800062373e-01
numerical = 6.431523175079437715e-01   exact = 6.431523175079452148e-01
numerical = 6.371178553944728540e-01   exact = 6.371178553944620848e-01
numerical = 6.310440851465589640e-01   exact = 6.310440851465717316e-01
numerical = 6.249313814964859715e-01   exact = 6.249313814964776448e-01
numerical = 6.187801215784513031e-01   exact = 6.187801215784487496e-01
numerical = 6.125906849055554604e-01   exact = 6.125906849055527958e-01
numerical = 6.063634533462342047e-01   exact = 6.063634533462406440e-01
numerical = 6.000988111007846681e-01   exact = 6.000988111007866666e-01
numerical = 5.937971446775963669e-01   exact = 5.937971446775860418e-01
numerical = 5.874588428693049424e-01   exact = 5.874588428693060527e-01
numerical = 5.810842967288946115e-01   exact = 5.810842967289009398e-01
numerical = 5.746738995454928611e-01   exact = 5.746738995454844234e-01
numerical = 5.682280468200763268e-01   exact = 5.682280468200643364e-01
numerical = 5.617471362411460278e-01   exact = 5.617471362411422531e-01
numerical = 5.552315676602027628e-01   exact = 5.552315676601770056e-01
numerical = 5.486817430669246320e-01   exact = 5.486817430669159723e-01
numerical = 5.420980665646021324e-01   exact = 5.420980665645929175e-01
numerical = 5.354809443449981554e-01   exact = 5.354809443449951578e-01
numerical = 5.288307846634112686e-01   exact = 5.288307846634050513e-01
numerical = 5.221479978134043742e-01   exact = 5.221479978134097033e-01
numerical = 5.154329961015811090e-01   exact = 5.154329961015891026e-01
numerical = 5.086861938220852419e-01   exact = 5.086861938220765822e-01
numerical = 5.019080072309798357e-01   exact = 5.019080072309984875e-01
numerical = 4.950988545207973823e-01   exact = 4.950988545207936631e-01
numerical = 4.882591557944208627e-01   exact = 4.882591557944114813e-01
numerical = 4.813893330394030667e-01   exact = 4.813893330393922421e-01
numerical = 4.744898101018319436e-01   exact = 4.744898101018318881e-01
numerical = 4.675610126602274819e-01   exact = 4.675610126602354200e-01
numerical = 4.606033681992421358e-01   exact = 4.606033681992472428e-01
numerical = 4.536173059832825927e-01   exact = 4.536173059832830368e-01
numerical = 4.466032570300421667e-01   exact = 4.466032570300437765e-01
numerical = 4.395616540839097919e-01   exact = 4.395616540839206721e-01
numerical = 4.324929315893136228e-01   exact = 4.324929315892986903e-01
numerical = 4.253975256637557711e-01   exact = 4.253975256637533287e-01
numerical = 4.182758740711498002e-01   exact = 4.182758740711411960e-01
numerical = 4.111284161945901183e-01   exact = 4.111284161945927829e-01
numerical = 4.039555930093968739e-01   exact = 4.039555930094044789e-01
numerical = 3.967578470558362769e-01   exact = 3.967578470558310588e-01
numerical = 3.895356224117876298e-01   exact = 3.895356224117818011e-01
numerical = 3.822893646654164646e-01   exact = 3.822893646654226818e-01
numerical = 3.750195208876865305e-01   exact = 3.750195208876866415e-01
numerical = 3.677265396046856538e-01   exact = 3.677265396046875412e-01
numerical = 3.604108707700536818e-01   exact = 3.604108707700507397e-01
numerical = 3.530729657371391994e-01   exact = 3.530729657371508012e-01
numerical = 3.457132772312724867e-01   exact = 3.457132772312639934e-01
numerical = 3.383322593216314123e-01   exact = 3.383322593216374630e-01
numerical = 3.309303673934776979e-01   exact = 3.309303673934740342e-01
numerical = 3.235080581198347405e-01   exact = 3.235080581198374605e-01
numerical = 3.160657894334918949e-01   exact = 3.160657894334765738e-01
numerical = 3.086040204985751045e-01   exact = 3.086040204985703306e-01
numerical = 3.011232116824064109e-01   exact = 3.011232116824041904e-01
numerical = 2.936238245269568448e-01   exact = 2.936238245269593983e-01
numerical = 2.861063217204491971e-01   exact = 2.861063217204427578e-01
numerical = 2.785711670687378017e-01   exact = 2.785711670687408548e-01
numerical = 2.710188254667966201e-01   exact = 2.710188254668002283e-01
numerical = 2.634497628699518090e-01   exact = 2.634497628699471461e-01
numerical = 2.558644462651566420e-01   exact = 2.558644462651424867e-01
numerical = 2.482633436421762818e-01   exact = 2.482633436421648188e-01
numerical = 2.406469239647451852e-01   exact = 2.406469239647404113e-01
numerical = 2.330156571416088229e-01   exact = 2.330156571416083511e-01
numerical = 2.253700139975271521e-01   exact = 2.253700139975300665e-01
numerical = 2.177104662442452820e-01   exact = 2.177104662442400085e-01
numerical = 2.100374864513476214e-01   exact = 2.100374864513411821e-01
numerical = 2.023515480171642067e-01   exact = 2.023515480171523273e-01
numerical = 1.946531251394976736e-01   exact = 1.946531251394975626e-01
numerical = 1.869426927864496213e-01   exact = 1.869426927864512034e-01
numerical = 1.792207266670377552e-01   exact = 1.792207266670347576e-01
numerical = 1.714877032018708725e-01   exact = 1.714877032018661263e-01
numerical = 1.637440994937589822e-01   exact = 1.637440994937653382e-01
numerical = 1.559903932983262576e-01   exact = 1.559903932983194852e-01
numerical = 1.482270629944004436e-01   exact = 1.482270629944081319e-01
numerical = 1.404545875546948652e-01   exact = 1.404545875546859002e-01
numerical = 1.326734465160390730e-01   exact = 1.326734465160342991e-01
numerical = 1.248841199499724636e-01   exact = 1.248841199499745452e-01
numerical = 1.170870884330537792e-01   exact = 1.170870884330479367e-01
numerical = 1.092828330171663198e-01   exact = 1.092828330171660978e-01
numerical = 1.014718351999348428e-01   exact = 1.014718351999352175e-01
numerical = 9.365457689495455817e-02   exact = 9.365457689494166571e-02
numerical = 8.583154040203329338e-02   exact = 8.583154040202702062e-02
numerical = 7.800320837753074721e-02   exact = 7.800320837752765246e-02
numerical = 7.017006380449607172e-02   exact = 7.017006380449818115e-02
numerical = 6.233258996291590748e-02   exact = 6.233258996290991227e-02
numerical = 5.449127039984479753e-02   exact = 5.449127039983701210e-02
numerical = 4.664658889962323279e-02   exact = 4.664658889962462057e-02
