# m=1, k=39.4784, p=4
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
8.5700  -5.567218754259260e-02  -4.442861598277923e+00  9.869509590726329e+00  9.480972597822017e-05
8.5800  -1.001000653479125e-01  -4.442659897776847e+00  9.868613483657290e+00  9.909167951627940e-04
8.5900  -1.445235935114324e-01  -4.441913684786722e+00  9.865298591547777e+00  4.305808905209925e-03
8.6000  -1.889346418342372e-01  -4.440051417797721e+00  9.857028296343778e+00  1.257610411054314e-02
8.6100  -2.333183306472804e-01  -4.436294955684070e+00  9.840356466913962e+00  2.924793354304613e-02
8.6200  -2.776509733533546e-01  -4.429661510191005e+00  9.810950547433828e+00  5.865385302790202e-02
8.6300  -3.218980471953923e-01  -4.418967480480056e+00  9.763636796770127e+00  1.059676036991626e-01
8.6400  -3.660122156253236e-01  -4.402835109803938e+00  9.692478502061128e+00  1.771258984194299e-01
8.6500  -4.099314358853961e-01  -4.379703066929817e+00  9.590899477237224e+00  2.787049232591864e-01
8.6600  -4.535771971033019e-01  -4.347842179724320e+00  9.451865809894963e+00  4.177385906227064e-01
8.6700  -4.968529468670584e-01  -4.305377614673407e+00  9.268138202465439e+00  6.014661980795548e-01
8.6800  -5.396427771768871e-01  -4.250318778477937e+00  9.032604859341092e+00  8.369995412376282e-01
8.6900  -5.818104528860184e-01  -4.180598087148046e+00  8.738700183132950e+00  1.130904217485807e+00
8.7000  -6.231988759589547e-01  -4.094119474254904e+00  8.380907134736626e+00  1.488697265927801e+00
8.7100  -6.636300855258677e-01  -3.988817066610529e+00  7.955330795441712e+00  1.914273605272650e+00
8.7200  -7.029058950021878e-01  -3.862723825342191e+00  7.460317675433106e+00  2.409286725333337e+00
8.7300  -7.408092615831255e-01  -3.714049132357290e+00  6.897080478781969e+00  2.972523922035871e+00
8.7400  -7.771064684317610e-01  -3.541263320179580e+00  6.270272951424650e+00  3.599331449440550e+00
8.7500  -8.115501744625568e-01  -3.343186052080640e+00  5.588446489413267e+00  4.281157911491658e+00
8.7600  -8.438833501119688e-01  -3.119074349924029e+00  4.864312400177003e+00  5.005292000756660e+00
8.7700  -8.738440702993598e-01  -2.868705064452885e+00  4.114734373408814e+00  5.754870027539971e+00
8.7800  -9.011710797251440e-01  -2.592445838610491e+00  3.360387713064427e+00  6.509216687884519e+00
8.7900  -9.256099841224372e-01  -2.291308290234611e+00  2.625046840448929e+00  7.244557560485601e+00
8.8000  -9.469198590271252e-01  -1.966977382042849e+00  1.934500010734070e+00  7.935104390173771e+00
8.8100  -9.648800112692851e-01  -1.621811854326187e+00  1.315136845416473e+00  8.554467555456492e+00
8.8200  -9.792965845697365e-01  -1.258812193052516e+00  7.923040686888430e-01  9.077300332146507e+00
8.8300  -9.900086759587555e-01  -8.815548177245881e-01  3.885694483267159e-01  9.481034952474250e+00
8.8400  -9.968936295371442e-01  -4.940938165909026e-01  1.220643497966822e-01  9.747540050978676e+00
8.8500  -9.998712013697116e-01  -1.008343543110908e-01  5.083783504667296e-03  9.864520617257982e+00
8.8600  -9.989063439246958e-01  2.936155081980328e-01  4.310503332719454e-02  9.826499367437625e+00
8.8700  -9.940104368805570e-01  6.846057545321393e-01  2.343425195692599e-01  9.635261881212010e+00
8.8800  -9.852408865183153e-01  1.067608017654943e+00  5.698934396805581e-01  9.299710961128465e+00
8.8900  -9.726991190979037e-01  1.438371484139769e+00  1.034456263193220e+00  8.835148137649993e+00
8.9000  -9.565270942455788e-01  1.793061505288685e+00  1.607534780874063e+00  8.262069620003940e+00
8.9100  -9.369025524930771e-01  2.128373022786235e+00  2.264985862062109e+00  7.604618538845491e+00
8.9200  -9.140332785456348e-01  2.441613302930101e+00  2.980737760522619e+00  6.888866640404515e+00
