# omega0=1, alpha=10
# theta0=0.05, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          theta(t)                 thetadot(t)       
1.413488712065068e+01 1.211651178890729e-02 -1.223985358826080e-03
1.422607994078391e+01 1.200540563352322e-02 -1.212762199988701e-03
1.431727276091714e+01 1.189531825084921e-02 -1.201641935140245e-03
1.440846558105037e+01 1.178624030075186e-02 -1.190623621361283e-03
1.449965840118360e+01 1.167816252869118e-02 -1.179706324362024e-03
1.459085122131683e+01 1.157107576493718e-02 -1.168889118403642e-03
1.468204404145006e+01 1.146497092379373e-02 -1.158171086220314e-03
1.477323686158329e+01 1.135983900282929e-02 -1.147551318941961e-03
1.486442968171652e+01 1.125567108211488e-02 -1.137028916017681e-03
1.495562250184975e+01 1.115245832346887e-02 -1.126602985139880e-03
1.504681532198298e+01 1.105019196970863e-02 -1.116272642169081e-03
1.513800814211621e+01 1.094886334390914e-02 -1.106037011059416e-03
1.522920096224944e+01 1.084846384866822e-02 -1.095895223784785e-03
1.532039378238267e+01 1.074898496537855e-02 -1.085846420265688e-03
1.541158660251590e+01 1.065041825350630e-02 -1.075889748296717e-03
1.550277942264913e+01 1.055275534987637e-02 -1.066024363474694e-03
1.559397224278236e+01 1.045598796796413e-02 -1.056249429127474e-03
1.568516506291559e+01 1.036010789719358e-02 -1.046564116243378e-03
1.577635788304882e+01 1.026510700224204e-02 -1.036967603401269e-03
1.586755070318205e+01 1.017097722235107e-02 -1.027459076701266e-03
1.595874352331528e+01 1.007771057064370e-02 -1.018037729696071e-03
1.604993634344851e+01 9.985299133447969e-03 -1.008702763322933e-03
1.614112916358174e+01 9.893735069626540e-03 -9.994533858362178e-04
1.623232198371497e+01 9.803010609912502e-03 -9.902888127405905e-04
1.632351480384820e+01 9.713118056251220e-03 -9.812082667248043e-04
1.641470762398143e+01 9.624049781148192e-03 -9.722109775960884e-04
1.650590044411466e+01 9.535798227022860e-03 -9.632961822151303e-04
1.659709326424789e+01 9.448355905568327e-03 -9.544631244316472e-04
1.668828608438112e+01 9.361715397116929e-03 -9.457110550205398e-04
1.677947890451435e+01 9.275869350011599e-03 -9.370392316186293e-04
1.687067172464758e+01 9.190810479982957e-03 -9.284469186619628e-04
1.696186454478081e+01 9.106531569532126e-03 -9.199333873236902e-04
1.705305736491404e+01 9.023025467319153e-03 -9.114979154525050e-04
1.714425018504727e+01 8.940285087557041e-03 -9.031397875116411e-04
1.723544300518050e+01 8.858303409411308e-03 -8.948582945184265e-04
1.732663582531373e+01 8.777073476405033e-03 -8.866527339843822e-04
1.741782864544696e+01 8.696588395829350e-03 -8.785224098558680e-04
1.750902146558019e+01 8.616841338159318e-03 -8.704666324552654e-04
1.760021428571342e+01 8.537825536475136e-03 -8.624847184226947e-04
1.769140710584665e+01 8.459534285888642e-03 -8.545759906582618e-04
1.778259992597988e+01 8.381960942975077e-03 -8.467397782648309e-04
1.787379274611311e+01 8.305098925210013e-03 -8.389754164913148e-04
1.796498556624634e+01 8.228941710411442e-03 -8.312822466764821e-04
1.805617838637957e+01 8.153482836186979e-03 -8.236596161932752e-04
1.814737120651280e+01 8.078715899386102e-03 -8.161068783936338e-04
1.823856402664603e+01 8.004634555557404e-03 -8.086233925538199e-04
1.832975684677927e+01 7.931232518410816e-03 -8.012085238202423e-04
1.842094966691250e+01 7.858503559284750e-03 -7.938616431557699e-04
1.851214248704573e+01 7.786441506618099e-03 -7.865821272865376e-04
1.860333530717896e+01 7.715040245427070e-03 -7.793693586492322e-04
1.869452812731219e+01 7.644293716786822e-03 -7.722227253388602e-04
1.878572094744542e+01 7.574195917317824e-03 -7.651416210569919e-04
1.887691376757865e+01 7.504740898676920e-03 -7.581254450604736e-04
1.896810658771188e+01 7.435922767053049e-03 -7.511736021106090e-04
1.905929940784511e+01 7.367735682667577e-03 -7.442855024228028e-04
1.915049222797834e+01 7.300173859279202e-03 -7.374605616166621e-04
1.924168504811157e+01 7.233231563693383e-03 -7.306982006665526e-04
1.933287786824480e+01 7.166903115276268e-03 -7.239978458526055e-04
1.942407068837803e+01 7.101182885473059e-03 -7.173589287121705e-04
1.951526350851126e+01 7.036065297330789e-03 -7.107808859917104e-04
1.960645632864449e+01 6.971544825025467e-03 -7.042631595991347e-04
1.969764914877772e+01 6.907615993393544e-03 -6.978051965565677e-04
1.978884196891095e+01 6.844273377467677e-03 -6.914064489535464e-04
1.988003478904418e+01 6.781511602016729e-03 -6.850663739006455e-04
1.997122760917741e+01 6.719325341089984e-03 -6.787844334835245e-04
2.006242042931064e+01 6.657709317565545e-03 -6.725600947173940e-04
2.015361324944387e+01 6.596658302702840e-03 -6.663928295018982e-04
2.024480606957710e+01 6.536167115699248e-03 -6.602821145764068e-04
2.033599888971033e+01 6.476230623250771e-03 -6.542274314757162e-04
2.042719170984356e+01 6.416843739116732e-03 -6.482282664861539e-04
2.051838452997679e+01 6.358001423688450e-03 -6.422841106020837e-04
2.060957735011002e+01 6.299698683561875e-03 -6.363944594828071e-04
2.070077017024325e+01 6.241930571114130e-03 -6.305588134098590e-04
2.079196299037648e+01 6.184692184083924e-03 -6.247766772446920e-04
2.088315581050971e+01 6.127978665155812e-03 -6.190475603867465e-04
2.097434863064294e+01 6.071785201548262e-03 -6.133709767319047e-04
2.106554145077617e+01 6.016107024605494e-03 -6.077464446313227e-04
2.115673427090940e+01 5.960939409393050e-03 -6.021734868506391e-04
2.124792709104263e+01 5.906277674297074e-03 -5.966516305295555e-04
2.133911991117586e+01 5.852117180627248e-03 -5.911804071417854e-04
2.143031273130909e+01 5.798453332223390e-03 -5.857593524553701e-04
2.152150555144232e+01 5.745281575065625e-03 -5.803880064933558e-04
2.161269837157555e+01 5.692597396888145e-03 -5.750659134948304e-04
2.170389119170878e+01 5.640396326796492e-03 -5.697926218763152e-04
2.179508401184201e+01 5.588673934888363e-03 -5.645676841935107e-04
2.188627683197524e+01 5.537425831877869e-03 -5.593906571033905e-04
2.197746965210847e+01 5.486647668723250e-03 -5.542611013266411e-04
2.206866247224170e+01 5.436335136257989e-03 -5.491785816104468e-04
2.215985529237493e+01 5.386483964825307e-03 -5.441426666916118e-04
2.225104811250816e+01 5.337089923916013e-03 -5.391529292600220e-04
2.234224093264139e+01 5.288148821809659e-03 -5.342089459224380e-04
2.243343375277462e+01 5.239656505218990e-03 -5.293102971666212e-04
2.252462657290785e+01 5.191608858937645e-03 -5.244565673257861e-04
2.261581939304108e+01 5.144001805491094e-03 -5.196473445433779e-04
2.270701221317431e+01 5.096831304790760e-03 -5.148822207381722e-04
2.279820503330754e+01 5.050093353791319e-03 -5.101607915696941e-04
2.288939785344077e+01 5.003783986151132e-03 -5.054826564039518e-04
2.298059067357400e+01 4.957899271895790e-03 -5.008474182794848e-04
2.307178349370723e+01 4.912435317084751e-03 -4.962546838737229e-04
2.316297631384046e+01 4.867388263481010e-03 -4.917040634696500e-04
2.325416913397369e+01 4.822754288223813e-03 -4.871951709227769e-04
2.334536195410692e+01 4.778529603504361e-03 -4.827276236284113e-04
2.343655477424015e+01 4.734710456244487e-03 -4.783010424892312e-04
2.352774759437338e+01 4.691293127778275e-03 -4.739150518831518e-04
2.361894041450661e+01 4.648273933536602e-03 -4.695692796314885e-04
2.371013323463984e+01 4.605649222734559e-03 -4.652633569674091e-04
2.380132605477307e+01 4.563415378061748e-03 -4.609969185046756e-04
2.389251887490630e+01 4.521568815375404e-03 -4.567696022066719e-04
2.398371169503953e+01 4.480105983396340e-03 -4.525810493557142e-04
2.407490451517276e+01 4.439023363407673e-03 -4.484309045226425e-04
2.416609733530600e+01 4.398317468956306e-03 -4.443188155366901e-04
2.425729015543923e+01 4.357984845557154e-03 -4.402444334556285e-04
2.434848297557246e+01 4.318022070400071e-03 -4.362074125361862e-04
2.443967579570569e+01 4.278425752059470e-03 -4.322074102047369e-04
2.453086861583892e+01 4.239192530206598e-03 -4.282440870282565e-04
2.462206143597215e+01 4.200319075324453e-03 -4.243171066855463e-04
2.471325425610538e+01 4.161802088425305e-03 -4.204261359387187e-04
2.480444707623861e+01 4.123638300770818e-03 -4.165708446049439e-04
2.489563989637184e+01 4.085824473594719e-03 -4.127509055284554e-04
2.498683271650507e+01 4.048357397828027e-03 -4.089659945528114e-04
2.507802553663830e+01 4.011233893826789e-03 -4.052157904934105e-04
2.516921835677153e+01 3.974450811102307e-03 -4.014999751102580e-04
2.526041117690476e+01 3.938005028053854e-03 -3.978182330809826e-04
2.535160399703799e+01 3.901893451703822e-03 -3.941702519740990e-04
2.544279681717122e+01 3.866113017435302e-03 -3.905557222225156e-04
2.553398963730445e+01 3.830660688732073e-03 -3.869743370972849e-04
2.562518245743768e+01 3.795533456920974e-03 -3.834257926815937e-04
2.571637527757091e+01 3.760728340916634e-03 -3.799097878449917e-04
2.580756809770414e+01 3.726242386968537e-03 -3.764260242178563e-04
2.589876091783737e+01 3.692072668410412e-03 -3.729742061660900e-04
2.598995373797060e+01 3.658216285411922e-03 -3.695540407660505e-04
