# omega0=1, alpha=0.1
# theta0=0.05, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          theta(t)                 thetadot(t)       
1.732663582531373e+01 -5.288646140450678e-04 2.104286530636232e-02
1.741782864544696e+01 1.380914736189508e-03 2.081287752744759e-02
1.750902146558019e+01 3.261933702511152e-03 2.041280131839431e-02
1.760021428571342e+01 5.098892513690999e-03 1.984749110655699e-02
1.769140710584665e+01 6.876994868720630e-03 1.912312466347624e-02
1.778259992597988e+01 8.582065809912429e-03 1.824713985523574e-02
1.787379274611311e+01 1.020066337261748e-02 1.722816151530107e-02
1.796498556624634e+01 1.172018314248983e-02 1.607591914714457e-02
1.805617838637957e+01 1.312895491898742e-02 1.480115623416071e-02
1.814737120651280e+01 1.441633075759837e-02 1.341553199649666e-02
1.823856402664603e+01 1.557276374236066e-02 1.193151648806780e-02
1.832975684677927e+01 1.658987692381811e-02 1.036227997194656e-02
1.842094966691250e+01 1.746052194482376e-02 8.721577548387408e-03
1.851214248704573e+01 1.817882696675619e-02 7.023630036982594e-03
1.860333530717896e+01 1.874023360095244e-02 5.283002132934559e-03
1.869452812731219e+01 1.914152264369355e-02 3.514478867363182e-03
1.878572094744542e+01 1.938082850713578e-02 1.732941403180522e-03
1.887691376757865e+01 1.945764233241594e-02 -4.675680835863625e-05
1.896810658771188e+01 1.937280386405360e-02 -1.809912499485212e-03
1.905929940784511e+01 1.912848225603470e-02 -3.542092696773357e-03
1.915049222797834e+01 1.872814606892578e-02 -5.229251510401575e-03
1.924168504811157e+01 1.817652280339977e-02 -6.857842676750476e-03
1.933287786824480e+01 1.747954839804283e-02 -8.414926971376446e-03
1.942407068837803e+01 1.664430719767171e-02 -9.888273657771616e-03
1.951526350851126e+01 1.567896297206670e-02 -1.126645519166964e-02
1.960645632864449e+01 1.459268163348192e-02 -1.253893446068082e-02
1.969764914877772e+01 1.339554636403236e-02 -1.369614390440786e-02
1.978884196891095e+01 1.209846592060355e-02 -1.472955593053135e-02
1.988003478904418e+01 1.071307693485144e-02 -1.563174411723487e-02
1.997122760917741e+01 9.251641068764358e-03 -1.639643477127073e-02
2.006242042931064e+01 7.726937921801782e-03 -1.701854849338619e-02
2.015361324944387e+01 6.152154613516547e-03 -1.749423148809894e-02
2.024480606957710e+01 4.540772985579472e-03 -1.782087644221938e-02
2.033599888971033e+01 2.906455379098814e-03 -1.799713288529090e-02
2.042719170984356e+01 1.262929946973705e-03 -1.802290703442620e-02
2.051838452997679e+01 -3.761235432677820e-04 -1.789935121498671e-02
2.060957735011002e+01 -1.997186473048005e-03 -1.762884303629057e-02
2.070077017024325e+01 -3.587011779902117e-03 -1.721495458714673e-02
2.079196299037648e+01 -5.132731113329465e-03 -1.666241199862315e-02
2.088315581050971e+01 -6.621957879745126e-03 -1.597704580023057e-02
2.097434863064294e+01 -8.042885359226672e-03 -1.516573256986355e-02
2.106554145077617e+01 -9.384379125560921e-03 -1.423632844669014e-02
2.115673427090940e+01 -1.063606305591799e-02 -1.319759513911060e-02
2.124792709104263e+01 -1.178839827675160e-02 -1.205911911640685e-02
2.133911991117586e+01 -1.283275445763989e-02 -1.083122472237411e-02
2.143031273130909e+01 -1.376147293410270e-02 -9.524881991766310e-03
2.152150555144232e+01 -1.456792121329912e-02 -8.151609985602375e-03
2.161269837157555e+01 -1.524653849225091e-02 -6.723376489170711e-03
2.170389119170878e+01 -1.579287189617310e-02 -5.252494936918632e-03
2.179508401184201e+01 -1.620360322394809e-02 -3.751519441379825e-03
2.188627683197524e+01 -1.647656606808378e-02 -2.233138808993368e-03
2.197746965210847e+01 -1.661075325699601e-02 -7.100704242667617e-04
2.206866247224170e+01 -1.660631464751032e-02 8.050451245683245e-04
2.215985529237493e+01 -1.646454537446973e-02 2.299747820241890e-03
2.225104811250816e+01 -1.618786474166526e-02 3.761859554729939e-03
2.234224093264139e+01 -1.577978601339760e-02 5.179582222005529e-03
2.243343375277462e+01 -1.524487743828023e-02 6.541591789664716e-03
2.252462657290785e+01 -1.458871490587737e-02 7.837127613034726e-03
2.261581939304108e+01 -1.381782670193109e-02 9.056076299947429e-03
2.270701221317431e+01 -1.293963088879391e-02 1.018904948401314e-02
2.279820503330754e+01 -1.196236589379857e-02 1.122745491863256e-02
2.288939785344077e+01 -1.089501493924710e-02 1.216356036278161e-02
2.298059067357400e+01 -9.747224993104934e-03 1.299054979239906e-02
2.307178349370723e+01 -8.529220958996579e-03 1.370257153756036e-02
2.316297631384046e+01 -7.251715857416175e-03 1.429477801504484e-02
2.325416913397369e+01 -5.925817776931412e-03 1.476335679785756e-02
2.334536195410692e+01 -4.562934394370323e-03 1.510555283716513e-02
2.343655477424015e+01 -3.174675876387350e-03 1.531968172731255e-02
2.352774759437338e+01 -1.772756981319370e-03 1.540513398043506e-02
2.361894041450661e+01 -3.688991798373720e-04 1.536237035296398e-02
2.371013323463984e+01 1.025266394386638e-03 1.519290834133246e-02
2.380132605477307e+01 2.398294366841110e-03 1.489930003769425e-02
2.389251887490630e+01 3.739018140679608e-03 1.448510160776624e-02
2.398371169503953e+01 5.036639762129479e-03 1.395483472130870e-02
2.407490451517276e+01 6.280815916492676e-03 1.331394033062019e-02
2.416609733530600e+01 7.461739377284841e-03 1.256872525315178e-02
2.425729015543923e+01 8.570215275245876e-03 1.172630207040729e-02
2.434848297557246e+01 9.597731603023948e-03 1.079452290622930e-02
2.443967579570569e+01 1.053652342479978e-02 9.781907692989769e-03
2.453086861583892e+01 1.137963031746124e-02 8.697567573802094e-03
2.462206143597215e+01 1.212094663061826e-02 7.551124122417391e-03
2.471325425610538e+01 1.275526421620490e-02 6.352625089809218e-03
2.480444707623861e+01 1.327830734407947e-02 5.112457407501845e-03
2.489563989637184e+01 1.368675958732936e-02 3.841258192437940e-03
2.498683271650507e+01 1.397828252934054e-02 2.549824506646392e-03
2.507802553663830e+01 1.415152621353415e-02 1.249022627242355e-03
2.516921835677153e+01 1.420613132544374e-02 -5.030242150861006e-05
2.526041117690476e+01 1.414272316496070e-02 -1.337416332048273e-03
2.535160399703799e+01 1.396289753357979e-02 -2.601783246746587e-03
2.544279681717122e+01 1.366919872681789e-02 -3.833151054917652e-03
2.553398963730445e+01 1.326508988516173e-02 -5.021633574368364e-03
2.562518245743768e+01 1.275491601745122e-02 -6.157788969599309e-03
2.571637527757091e+01 1.214386006807157e-02 -7.232693794979072e-03
2.580756809770414e+01 1.143789245328416e-02 -8.238012091957542e-03
2.589876091783737e+01 1.064371454207070e-02 -9.166059014371059e-03
2.598995373797060e+01 9.768696602626730e-03 -1.000985850479618e-02
2.608114655810383e+01 8.820810776776405e-03 -1.076319459737318e-02
2.617233937823706e+01 7.808559680785434e-03 -1.142065597815646e-02
2.626353219837029e+01 6.740901262050463e-03 -1.197767349243341e-02
2.635472501850352e+01 5.627170566713319e-03 -1.243055034912627e-02
2.644591783863675e+01 4.476999093199542e-03 -1.277648483486097e-02
2.653711065876998e+01 3.300232420872830e-03 -1.301358541402678e-02
2.662830347890321e+01 2.106846811339750e-03 -1.314087815560870e-02
2.671949629903644e+01 9.068654823924209e-04 -1.315830649217951e-02
2.681068911916967e+01 -2.897247488456175e-04 -1.306672338060238e-02
2.690188193930290e+01 -1.473055766236458e-03 -1.286787599713108e-02
2.699307475943613e+01 -2.633458725993724e-03 -1.256438316111760e-02
2.708426757956936e+01 -3.761542247118292e-03 -1.215970574088141e-02
2.717546039970259e+01 -4.848267594651637e-03 -1.165811035191817e-02
2.726665321983582e+01 -5.885020260241713e-03 -1.106462671102426e-02
2.735784603996905e+01 -6.863677379968101e-03 -1.038499905962477e-02
2.744903886010228e+01 -7.776670469174452e-03 -9.625632115205115e-03
2.754023168023551e+01 -8.617042997816290e-03 -8.793532050904471e-03
2.763142450036874e+01 -9.378502377131078e-03 -7.896243039734751e-03
2.772261732050197e+01 -1.005546597883019e-02 -6.941779931304276e-03
2.781381014063520e+01 -1.064310086103549e-02 -5.938557655171650e-03
2.790500296076843e+01 -1.113735693035923e-02 -4.895317965911038e-03
2.799619578090166e+01 -1.153499332636898e-02 -3.821054160567171e-03
2.808738860103489e+01 -1.183359787269962e-02 -2.724934409397994e-03
2.817858142116812e+01 -1.203159949778174e-02 -1.616224345670704e-03
2.826977424130135e+01 -1.212827358706624e-02 -5.042095598578027e-04
2.836096706143458e+01 -1.212374028725879e-02 6.018813620271465e-04
2.845215988156781e+01 -1.201895584096932e-02 1.692952626879967e-03
2.854335270170104e+01 -1.181569708687531e-02 2.760115236237226e-03
2.863454552183427e+01 -1.151653931555491e-02 3.794758608076241e-03
2.872573834196750e+01 -1.112482772414468e-02 4.788619250287634e-03
2.881693116210073e+01 -1.064464276351430e-02 5.733845946541642e-03
2.890812398223396e+01 -1.008075971934655e-02 6.623060948444126e-03
2.899931680236719e+01 -9.438602913005703e-03 7.449416704845043e-03
2.909050962250042e+01 -8.724194949039924e-03 8.206647699631796e-03
2.918170244263365e+01 -7.944101473286769e-03 8.889117012999206e-03
2.927289526276688e+01 -7.105371938560634e-03 9.491857267697098e-03
2.936408808290011e+01 -6.215476903553051e-03 1.001060567075045e-02
2.945528090303334e+01 -5.282242414662624e-03 1.044183291223334e-02
2.954647372316657e+01 -4.313782039818726e-03 1.078276573543991e-02
2.963766654329980e+01 -3.318427137839270e-03 1.103140304679277e-02
2.972885936343303e+01 -2.304655956375919e-03 1.118652548860221e-02
2.982005218356626e+01 -1.281022156000905e-03 1.124769845286372e-02
2.991124500369950e+01 -2.560833574727094e-04 1.121526856917096e-02
3.000243782383273e+01 7.616696962776675e-04 1.109035375404061e-02
3.009363064396596e+01 1.763882782288983e-03 1.087482696200791e-02
3.018482346409919e+01 2.742406077848778e-03 1.057129383028522e-02
3.027601628423242e+01 3.689359732675077e-03 1.018306445812490e-02
3.036720910436565e+01 4.597196610913120e-03 9.714119608860745e-03
3.045840192449888e+01 5.458761709146815e-03 9.169071666520650e-03
3.054959474463211e+01 6.267347788770072e-03 8.553120719544116e-03
3.064078756476534e+01 7.016746796752953e-03 7.872006181178785e-03
3.073198038489857e+01 7.701296687730392e-03 7.131954389293944e-03
3.082317320503180e+01 8.315923302072493e-03 6.339622657402595e-03
3.091436602516503e+01 8.856176998781518e-03 5.502040273442772e-03
3.100555884529826e+01 9.318263788303525e-03 4.626546963193763e-03
3.109675166543149e+01 9.699070758232738e-03 3.720729350999205e-03
3.118794448556472e+01 9.996185634008999e-03 2.792355961684865e-03
3.127913730569795e+01 1.020791036664416e-02 1.849311314181459e-03
3.137033012583118e+01 1.033326868984391e-02 8.995296594163771e-04
3.146152294596441e+01 1.037200763920352e-02 -4.907108742021925e-05
3.155271576609764e+01 1.032459307604073e-02 -9.886546770122517e-04
3.164390858623087e+01 1.019219930748936e-02 -1.911530586427095e-03
3.173510140636410e+01 9.976692942324745e-03 -2.810216293328613e-03
3.182629422649733e+01 9.680611168255748e-03 -3.677497266592380e-03
3.191748704663056e+01 9.307134680739062e-03 -4.506484199208917e-03
3.200867986676379e+01 8.860055535412196e-03 -5.290667036160802e-03
3.209987268689702e+01 8.343740235681778e-03 -6.023965380143546e-03
3.219106550703025e+01 7.763088403546737e-03 -6.700774891318395e-03
3.228225832716348e+01 7.123487415107718e-03 -7.316009333466510e-03
