# r      Exact       Approx       Abserr
3.3062992 -0.16905894 -0.16905894 1.0891565e-12
3.3125984 -0.1684562 -0.1684562 1.0766388e-12
3.3188976 -0.16785437 -0.16785437 1.0625389e-12
3.3251969 -0.16725345 -0.16725345 1.0526024e-12
3.3314961 -0.16665346 -0.16665346 1.0420553e-12
3.3377953 -0.16605441 -0.16605441 1.0344781e-12
3.3440945 -0.16545631 -0.16545631 1.0228207e-12
3.3503937 -0.16485917 -0.16485917 1.0140222e-12
3.3566929 -0.16426301 -0.16426301 1.0017542e-12
3.3629921 -0.16366784 -0.16366784 9.9095732e-13
3.3692913 -0.16307366 -0.16307366 9.8246411e-13
3.3755906 -0.1624805 -0.1624805 9.6658792e-13
3.3818898 -0.16188835 -0.16188835 9.6544994e-13
3.388189 -0.16129723 -0.16129723 9.5440322e-13
3.3944882 -0.16070715 -0.16070715 9.4027564e-13
3.4007874 -0.16011813 -0.16011813 9.3514085e-13
3.4070866 -0.15953016 -0.15953016 9.2179042e-13
3.4133858 -0.15894326 -0.15894326 9.1338048e-13
3.419685 -0.15835745 -0.15835745 9.0569219e-13
3.4259843 -0.15777272 -0.15777272 8.9322993e-13
3.4322835 -0.1571891 -0.1571891 8.8604124e-13
3.4385827 -0.15660658 -0.15660658 8.821277e-13
3.4448819 -0.15602518 -0.15602518 8.6441965e-13
3.4511811 -0.1554449 -0.1554449 8.5956242e-13
3.4574803 -0.15486576 -0.15486576 8.5204066e-13
3.4637795 -0.15428777 -0.15428777 8.3413831e-13
3.4700787 -0.15371093 -0.15371093 8.368306e-13
3.476378 -0.15313525 -0.15313525 8.2497897e-13
3.4826772 -0.15256073 -0.15256073 8.1695761e-13
3.4889764 -0.1519874 -0.1519874 8.0827012e-13
3.4952756 -0.15141525 -0.15141525 7.9633522e-13
3.5015748 -0.15084429 -0.15084429 7.9070084e-13
3.507874 -0.15027453 -0.15027453 7.8198559e-13
3.5141732 -0.14970598 -0.14970598 7.7493567e-13
3.5204724 -0.14913865 -0.14913865 7.6644247e-13
3.5267717 -0.14857253 -0.14857253 7.5645046e-13
3.5330709 -0.14800765 -0.14800765 7.4740214e-13
3.5393701 -0.147444 -0.147444 7.4318329e-13
3.5456693 -0.14688159 -0.14688159 7.3432926e-13
3.5519685 -0.14632044 -0.14632044 7.273071e-13
3.5582677 -0.14576053 -0.14576053 7.1825879e-13
3.5645669 -0.1452019 -0.1452019 7.1001538e-13
3.5708661 -0.14464452 -0.14464452 7.0626838e-13
